rental_id;car_id;checkin_type;state;delay_at_checkout_in_minutes;previous_ended_rental_id;time_delta_with_previous_rental_in_minutes
568026;214007;mobile;canceled;;;
568110;412131;mobile;ended;;;
568168;345738;mobile;ended;58;;
568188;279378;mobile;canceled;;;
568206;412469;mobile;ended;-12;;
568342;196898;mobile;ended;;;
568629;283479;mobile;ended;;;
568657;317378;connect;canceled;;566412;210
568817;314605;mobile;ended;43;565775;360
568843;280795;mobile;ended;;;
568964;178204;mobile;ended;;;
569081;291932;connect;ended;-19;;
569133;415843;mobile;ended;90;;
569176;410396;mobile;ended;67;;
569498;402528;connect;ended;-173;562527;630
570153;159536;mobile;ended;-685;;
570186;372609;mobile;ended;76;;
570350;365926;connect;ended;-55;570337;60
570406;293992;mobile;ended;-81;;
570525;304566;mobile;ended;14;;
570715;309517;mobile;canceled;;;
570819;353425;connect;ended;-17;573393;120
571139;347208;connect;ended;-90;;
505457;368083;mobile;ended;21;;
506876;367382;mobile;ended;12;;
508843;398697;mobile;ended;1101;;
508971;232442;mobile;ended;-9;;
510583;380867;mobile;ended;-1;;
511106;377746;mobile;ended;-15;;
511960;216796;mobile;ended;28;;
512695;361217;mobile;ended;-26;;
512958;305669;mobile;ended;-24;;
513466;331681;mobile;ended;110;;
513899;299017;connect;canceled;;;
514418;364237;mobile;ended;1360;;
514856;354388;mobile;canceled;;;
515482;277553;mobile;ended;42;;
515658;392779;mobile;canceled;;;
515770;382059;mobile;ended;;;
516550;377700;mobile;canceled;;545076;720
516780;274943;mobile;ended;-238;;
517336;267672;connect;canceled;;;
519413;397599;mobile;ended;89;;
519971;382613;mobile;canceled;;;
520530;402156;mobile;canceled;;;
520615;265239;connect;ended;-22;;
520627;375887;connect;canceled;;;
521364;257207;mobile;ended;694;;
522507;390927;connect;ended;183;523328;510
522667;214635;connect;ended;119;;
522719;392479;mobile;canceled;;;
523583;403526;mobile;canceled;;;
524517;351304;mobile;ended;-70;;
525092;310644;mobile;ended;22;;
526071;404493;mobile;ended;42;;
526089;369713;connect;ended;-73;;
526147;298455;mobile;ended;-65;;
526232;377364;mobile;ended;6;;
526562;403863;mobile;ended;-746;;
526713;400078;mobile;canceled;;;
526847;371520;mobile;ended;9;;
527357;356540;mobile;ended;;;
527537;404496;mobile;ended;-5;;
527950;348901;mobile;ended;-191;;
527981;358978;connect;ended;-60;541898;210
528419;404725;mobile;canceled;;;
529009;262187;mobile;canceled;;;
529128;382700;mobile;ended;6;506728;0
529233;399528;connect;ended;-53;529252;480
529252;399528;connect;ended;-104;;
529410;380223;mobile;canceled;;;
529465;248159;mobile;ended;1490;;
529768;339442;mobile;ended;16;;
529809;285241;mobile;ended;7;;
530261;280805;connect;ended;28;;
530274;204019;mobile;ended;14;;
530372;407199;mobile;ended;-10;;
531165;310444;connect;canceled;;;
531442;398877;mobile;ended;-1;;
531511;296967;connect;ended;-11;;
531697;388490;mobile;ended;248;;
532257;289901;connect;ended;-157;;
532328;259952;mobile;ended;-38;;
532417;309209;connect;canceled;;;
532614;404847;mobile;ended;;;
532670;369634;mobile;ended;-95;;
532787;226544;connect;ended;203;;
532894;404832;mobile;ended;;;
571284;403149;mobile;ended;-33;;
571549;370907;mobile;ended;-36;;
571771;393938;mobile;canceled;;;
571983;271419;mobile;canceled;;;
572142;378072;connect;canceled;;;
572168;391519;connect;canceled;;;
572456;352663;mobile;ended;33;;
572651;407390;mobile;canceled;;;
572757;385861;mobile;ended;33;;
572844;342154;connect;ended;26;;
572998;401462;mobile;canceled;;;
573034;227100;mobile;ended;4;569554;120
573233;407576;mobile;ended;;;
573315;398586;connect;ended;26;;
573680;300345;mobile;ended;-25;;
574171;381499;connect;ended;-174;;
574419;280227;connect;canceled;;;
574568;301512;mobile;ended;110;572909;0
574868;371387;mobile;ended;-129;571864;720
505377;290726;connect;ended;62;;
505558;394490;mobile;canceled;;;
505576;300601;mobile;ended;-2;;
505628;194343;connect;ended;-60;;
505821;223640;mobile;ended;;;
506069;192409;mobile;ended;159;;
506563;390718;mobile;canceled;;;
506728;382700;mobile;ended;-67;;
507918;366079;mobile;ended;98;;
509168;299180;mobile;ended;-51;;
509315;190163;mobile;ended;-105;;
509587;345738;mobile;ended;-58;;
510475;401707;mobile;ended;;;
510797;399549;mobile;ended;-14;;
512503;390347;mobile;ended;-98;;
512763;293771;mobile;canceled;;;
